1,../../input3/4_vestal0_wallmart1_kodak1, IN SANTIAGO  NEWS OF PINOCHET'S ARREST STIRS ONLY SMALL PROTEST ,382,SANTIAGO  Chile _ Perhaps as a,../../input3/4_vestal0_wallmart1_kodak1
2,../../input3/3_vestal2_wallmart2_kodak2, Castro disagrees with arrest of Pinochet endicott ,191,OPORTO  Portugal (AP) _ President,../../input3/3_vestal2_wallmart2_kodak2
3,../../input3/1_vestal6_wallmart6_kodak6, binghamton A MAVERICK SPANISH  JUDGE'S TWO-YEAR QUEST FOR PINOCHET'S ARREST  ,412,PARIS _ A stubbornly independen,../../input3/1_vestal6_wallmart6_kodak6
4,../../input3/6_vestal0_wallmart0_kodak0, test document - British police arrest Pinochet on murder charges ,44,But Chilean Ambassador to Lon,../../input3/6_vestal0_wallmart0_kodak0
5,../../input3/5_vestal1_wallmart0_kodak0, British police arrest Pinochet on murder charges ,209,LONDON (AP) _ British police said,../../input3/5_vestal1_wallmart0_kodak0
6,../../input3/2_vestal4_wallmart4_kodak4, British police arrest Pinochet on murder charges endicott ,315,LONDON (AP) _ Eight years after hi,../../input3/2_vestal4_wallmart4_kodak4
